#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
82.668,-0.57933,-0.72577,-1.5351,10.799,0.36265,-0.11289,0.94401,-4.6426
83.078,-0.58243,-0.74533,-1.541,10.813,0.39746,-0.020476,0.72132,-4.6049
83.498,-0.58543,-0.7476,-1.547,10.836,0.39145,-0.15226,0.98548,-4.6322
83.91,-0.58868,-0.76813,-1.5531,10.857,0.3863,0.045428,0.98366,-4.5711
84.318,-0.59224,-0.80155,-1.5593,10.876,0.38453,0.018246,1.0161,-4.7235
84.727,-0.59606,-0.8357,-1.5659,10.895,0.36051,-0.0036837,1.0087,-4.6041
85.139,-0.6001,-0.8673,-1.5727,10.907,0.4134,0.1502,0.78825,-4.6777
85.561,-0.60417,-0.88562,-1.5797,10.934,0.3953,-0.05207,0.97349,-4.5498
85.981,-0.60846,-0.90935,-1.5869,10.955,0.35473,-0.17415,0.99768,-4.6753
86.406,-0.61283,-0.92654,-1.5942,10.965,0.3862,-0.075691,0.85644,-4.7795
86.839,-0.61719,-0.93492,-1.6017,10.984,0.35201,-0.058098,0.85311,-4.6176
87.273,-0.62161,-0.94402,-1.6092,10.993,0.41153,0.08751,0.74882,-4.6014
87.711,-0.62604,-0.95163,-1.6168,11.018,0.36035,0.13499,0.81184,-4.6991
88.146,-0.63063,-0.96835,-1.6245,11.029,0.37357,-0.079437,1.025,-4.6969
88.578,-0.63543,-0.99226,-1.6323,11.044,0.35934,-0.042512,0.90613,-4.7289
89.019,-0.64026,-1.0056,-1.6403,11.054,0.36597,-0.12976,0.75883,-4.7343
89.473,-0.64488,-0.99714,-1.6483,11.067,0.36963,-0.18563,0.80814,-4.6846
89.928,-0.64943,-0.98971,-1.6562,11.08,0.38274,-0.17402,0.74632,-4.5536
90.389,-0.65382,-0.97646,-1.6641,11.097,0.41239,-0.029413,1.0248,-4.6704
90.832,-0.65858,-1.0014,-1.672,11.121,0.38628,0.14535,0.91073,-4.5995
91.278,-0.66349,-1.0259,-1.6801,11.139,0.35846,0.019881,0.8476,-4.5779
91.735,-0.66837,-1.0347,-1.6884,11.148,0.36355,-0.072128,0.85904,-4.7692
92.196,-0.67322,-1.0375,-1.6967,11.159,0.4136,0.17548,0.72837,-4.668
92.66,-0.67809,-1.0432,-1.705,11.184,0.32981,-0.21514,0.70841,-4.6787
93.139,-0.68262,-1.0199,-1.7132,11.185,0.39795,-0.042621,0.86937,-4.6118
93.606,-0.6873,-1.0247,-1.7214,11.205,0.41023,0.06045,1.0088,-4.772
94.065,-0.69227,-1.0503,-1.7297,11.228,0.40685,-0.0056541,0.82056,-4.692
94.539,-0.69709,-1.0513,-1.7381,11.251,0.35525,-0.17073,0.94859,-4.569
95.014,-0.70193,-1.0543,-1.7466,11.258,0.35682,-0.15577,0.85448,-4.7198
95.496,-0.70664,-1.0477,-1.755,11.267,0.40773,-0.13203,0.92704,-4.5533
95.976,-0.71139,-1.0501,-1.7634,11.289,0.37116,0.040364,0.98,-4.6094
96.45,-0.71634,-1.0691,-1.7718,11.301,0.31721,-0.23343,0.92853,-4.7162
96.938,-0.72111,-1.0635,-1.7804,11.297,0.32807,0.21834,0.86063,-4.7587
97.418,-0.72608,-1.0807,-1.7889,11.297,0.31481,-0.057023,0.69562,-4.7452
97.919,-0.7307,-1.0616,-1.7975,11.294,0.38564,0.12238,0.76856,-4.5768
98.412,-0.73539,-1.0622,-1.806,11.31,0.35143,0.0076305,0.71303,-4.7466
