#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
9164.7,-0.58903,0.30983,-5.9054,12.457,0.32529,-0.084514,0.88211,-5.3335
9165.3,-0.5893,0.31092,-5.9029,12.447,0.43178,-0.0026325,1.022,-5.5668
9165.8,-0.58982,0.29237,-5.9005,12.466,0.4978,0.10576,1.0305,-4.9157
9166.4,-0.59059,0.26439,-5.8983,12.503,0.46352,0.02558,1.0586,-5.5839
9166.9,-0.59155,0.2405,-5.8963,12.531,0.4833,0.064443,1.0524,-5.3005
9167.5,-0.59271,0.21424,-5.8945,12.563,0.39792,-0.0067844,0.94781,-5.1905
9168,-0.59386,0.20371,-5.8928,12.572,0.33222,-0.0093158,0.79627,-4.3839
9168.6,-0.59488,0.20764,-5.8911,12.563,0.35327,-0.010693,0.84781,-4.6726
9169.1,-0.59593,0.20698,-5.8895,12.56,0.31387,0.03444,0.69354,-3.5446
9169.7,-0.59681,0.2171,-5.8878,12.546,0.30411,-0.066751,0.80801,-4.8169
9170.3,-0.59767,0.22484,-5.886,12.53,0.25767,-0.043631,0.66706,-3.9028
9170.9,-0.59829,0.24385,-5.8842,12.501,0.34339,-0.082846,0.92253,-5.5423
9171.4,-0.59908,0.24228,-5.8822,12.495,0.32343,0.043494,0.70379,-3.5421
9172,-0.59968,0.25088,-5.8802,12.484,0.3688,-0.042201,0.92725,-5.3065
9172.5,-0.60044,0.24568,-5.8782,12.486,0.36092,0.0093094,0.83867,-4.4943
9173.1,-0.60117,0.24464,-5.8763,12.486,0.22337,-0.053645,0.59977,-3.6018
9173.7,-0.60151,0.27099,-5.8742,12.447,0.47909,0.073471,1.0302,-5.122
9174.2,-0.60235,0.24693,-5.8722,12.48,0.22629,-0.068434,0.62676,-3.8435
9174.8,-0.60269,0.27208,-5.8701,12.442,0.25029,-0.028837,0.62955,-3.604
9175.3,-0.60287,0.29368,-5.8678,12.412,0.43577,0.07887,0.92071,-4.4925
9175.9,-0.60337,0.27941,-5.8655,12.432,0.32526,-0.095473,0.89693,-5.4844
9176.4,-0.6038,0.2816,-5.8633,12.423,0.33459,-0.045997,0.85172,-4.9208
9177,-0.6042,0.28402,-5.861,12.415,0.5347,0.08672,1.1434,-5.6513
9177.5,-0.60508,0.24858,-5.8589,12.463,0.2792,-0.016477,0.68096,-3.8037
9178.1,-0.60551,0.26476,-5.8568,12.44,0.47224,0.075216,1.0117,-5.0101
9178.6,-0.60635,0.24272,-5.8548,12.471,0.36447,0.02186,0.82998,-4.3664
9179.2,-0.60706,0.24208,-5.8529,12.472,0.37757,0.028435,0.85196,-4.4435
9179.7,-0.6078,0.23895,-5.8509,12.476,0.42179,0.014185,0.97562,-5.2066
9180.3,-0.60873,0.22557,-5.8491,12.492,0.53991,0.093662,1.1462,-5.6221
9180.8,-0.61005,0.19003,-5.8474,12.541,0.2787,-0.01467,0.67731,-3.7723
9181.4,-0.61091,0.20716,-5.8458,12.517,0.37925,0.037016,0.84426,-4.3465
9181.9,-0.6119,0.2046,-5.8442,12.521,0.28058,-0.010977,0.67672,-3.7453
9182.5,-0.61264,0.22161,-5.8425,12.499,0.24531,-0.036036,0.62758,-3.6396
9183,-0.61314,0.24522,-5.8406,12.466,0.29157,-0.027439,0.72502,-4.1134
9183.6,-0.6136,0.25902,-5.8386,12.447,0.39237,0.020051,0.89825,-4.7488
9184.1,-0.61423,0.25285,-5.8365,12.456,0.2315,-0.043156,0.6047,-3.5612
9184.7,-0.61444,0.27918,-5.8344,12.42,0.36047,-0.011632,0.86607,-4.7778
9185.2,-0.61484,0.27857,-5.8322,12.42,0.35373,-0.029264,0.87411,-4.9348
9185.8,-0.61523,0.27869,-5.83,12.418,0.27055,-0.019118,0.66415,-3.7294
9186.3,-0.61534,0.29754,-5.8277,12.393,0.32781,-0.015545,0.79435,-4.4135
9186.9,-0.61548,0.30392,-5.8252,12.384,0.37173,0.07114,0.78015,-3.779
9187.4,-0.61562,0.30458,-5.8228,12.388,0.38715,0.053222,0.84088,-4.2239
9188,-0.61583,0.30106,-5.8204,12.395,0.38233,-0.032666,0.94621,-5.3482
9188.5,-0.61614,0.29476,-5.818,12.401,0.3354,0.0098497,0.77774,-4.16
9189.1,-0.6163,0.30072,-5.8156,12.394,0.34446,0.043351,0.75358,-3.8134
9189.6,-0.6164,0.3062,-5.8132,12.39,0.33611,0.05468,0.7185,-3.55
9190.1,-0.61643,0.31402,-5.8107,12.384,0.46993,0.026691,1.0722,-5.6506
9190.7,-0.61685,0.29119,-5.8083,12.414,0.44776,0.026343,1.0204,-5.3714
9191.2,-0.61738,0.27336,-5.806,12.438,0.46217,0.015654,1.0689,-5.7036
9191.7,-0.61811,0.25202,-5.8039,12.466,0.29572,0.016868,0.67462,-3.5549
9192.3,-0.61846,0.2674,-5.8019,12.447,0.30889,-0.039941,0.78287,-4.508
9192.8,-0.61878,0.27729,-5.7997,12.433,0.45102,0.04608,1.0012,-5.1407
9193.3,-0.6194,0.25989,-5.7975,12.458,0.38967,0.064445,0.83158,-4.1013
9193.9,-0.61994,0.25692,-5.7955,12.465,0.25683,-0.089485,0.72738,-4.5252
9194.4,-0.62022,0.27618,-5.7933,12.436,0.29552,-0.083205,0.81011,-4.9341
9195,-0.62046,0.28719,-5.7911,12.418,0.32072,8.3684e-06,0.75648,-4.1078
9195.5,-0.62062,0.29641,-5.7887,12.407,0.34534,0.033977,0.76841,-3.9542
9196,-0.62074,0.30174,-5.7864,12.403,0.41743,-0.023043,1.0159,-5.6648
9196.6,-0.62112,0.28868,-5.784,12.419,0.34348,-0.011395,0.82566,-4.5568
